ID;State(s);Beg_Region;End_Region;Added Capacity
178;CO;PADD 4;PADD 4; 220.000 ;N
179;TX;PADD 3;PADD 3; 300.000 ;SE
180;Q4;OK;PADD 4;Y-grade;T
181;TX, TAM;PADD 3;Mexico; 32.000 ;SW
182;OK, TX;PADD 2;PADD 3; 400.000 ;SE
183;MT, WY;PADD 4;PADD 4; 240.000 ;S
185;TX;PADD 3;PADD 3; 80.000 ;E
186;LA, MS, AL, GA, SC, NC, VA;PADD 2;PADD 1; 21.000 ;NE
187;2020;TX;TX;HGL; 15.000 
188;IL, KY, TN, MS, LA;PADD 2;PADD 3; 1.300.000 ;S
189;;TN;PADD 2;;T
190;WY, NE, CO, NE, KS, OK;PADD 4;PADD 2; 300.000 ;SE
191;KS, OK;PADD 2;PADD 2; 120.000 ;S
192;TX;PADD 3;PADD 3; 300.000 ;SE
193;TX;PADD 3;PADD 3; 1.000.000 ;SE
194;TX;PADD 3;PADD 3; 400.000 ;E
195;OK, TX;PADD 2;PADD 3; 400.000 ;S
196;;TX;PADD 2;;T
197;;LA;LA;CRD; 400.000 
198;AB, SK, MB, ND, MN, WI;Western Canada;PADD 2; 370.000 ;SE
199;WI, IL;PADD 2;PADD 2; 250.000 ;SE
200;LA;PADD 3;PADD 3; 170.000 ;SE
201;KS, OK;PADD 2;PADD 2; 400.000 ;S
202;OK;PADD 2 ;PADD 2; 120.000 ;S
203;TX;PADD 3;PADD 3; 1.500.000 ;SE
204;OK, TX, AR, LA;PADD 2;PADD 3; 800.000 ;SE
205;AB, SK, MB, ND, MN, WI, IL;Western Canada;PADD 2; 150.000 ;SE
206;AB, SK, MT, SD, NE;Western Canada;PADD 2; 830.000 ;SE
207;TX;PADD 3;PADD 3; 700.000 ;SW
208;TX;PADD 3;PADD 3; 125.000 ;E
209;ND;PADD 2;PADD 2; 200.000 ;N
210;TX;PADD 3;PADD 3;;W
211;OH, WV, PA, DE;PADD 2, PADD 1;PADD 1; 150.000 ;E
212;TX;PADD 3;PADD 3; 250.000 ;E
213;TX;PADD 3;PADD 3;;S
214;TX;PADD 3;PADD 3; 45.000 ;S
215;TX;PADD 3;PADD 3; 120.000 ;SE
216;TX;PADD 3;PADD 3; 220.000 ;SE
217;TX;PADD 3;PADD 3; 600.000 ;W
218;OH, WV, PA, DE, PA;PADD 2, PADD 1;PADD 1; 125.000 ;E
219;Q3;TX;PADD 3;Ethylene;F
220;WY;PADD 4;PADD 4; 200.000 ;S
221;TX;PADD 3;PADD 3; 450.000 ;SE
222;Completed;CO, KS, OK;CO;;
223;Q3;TX;PADD 2;;T
224;OK;PADD 2;PADD 2; 160.000 ;E
225;;OK;PADD 2;;T
226;;TX;PADD 3;Y-grade;F
227;ND, MT;PADD 2, PADD 4;PADD 4; 150.000 ;S
228;MT, WY;PADD 4;PADD 4; 70.000 ;S
229;TX;PADD 3;PADD 3; 450.000 ;SE
230;PA, WV, OH, IN, IL, KY, MO, AR, LA, TX;PADD 1;PADD 3; 45.000 ;SW
231;ND, SD, IA, IL;PADD 2;PADD 2; 180.000 ;SE
232;TX;PADD 3;PADD 3; 720.000 ;SW
233;TX, TAM;PADD 3;Mexico; 28.000 ;SW
234;TX;PADD 3;PADD 3; 240.000 ;W
235;TX;PADD 3;PADD 3; 275.000 ;E
236;WY, CO;PADD 4;PADD 4;;S
237;CO;PADD 4;PADD 4; 90.000 ;N
238;CO;PADD 4;PADD 4; 150.000 ;
239;ND;PADD 2;PADD 2; 90.000 ;E
240;TX;PADD 3 ;PADD 3; 150.000 ;SW
241;TX;PADD 3;PADD 3; 220.000 ;E
242;TX, GM;PADD 3 ;Offshore; 1.920.000 ;E
243;TX;PADD 3;PADD 3; 630.000 ;E
244;TX, GM;PADD 3 ;Offshore; 2.000.000 ;S
245;;GM;PADD 3;;T
246;;MS;PADD 2;;T
247;TX;PADD 3;PADD 3; 120.000 ;E
248;Q1;GM;PADD 3;;T
249;TX;PADD 3;PADD 3; 140.000 ;S
250;TX;PADD 3;PADD 3; 90.000 ;S
251;TX;PADD 3;PADD 3; 396.000 ;E
252;GM;Offshore;Offshore; 120.000 ;N
253;MI;PADD 2;PADD 2;;N
254;MI;PADD 2;PADD 2;;N
255;TX;PADD 3;PADD 3; 288.000 ;S
256;OK, TX;PADD 2;PADD 3; 90.000 ;W
257;Q2;TX;PADD 4;;T
258;Q1;TX;PADD 4;;T
259;TX, NM, CO, UT, CO;PADD 3;PADD 4; 60.000 ;NW
260;CA;PADD 5;PADD 5; 40.000 ;N
261;MT, WY;PADD 4;PADD 4; 5.800 ;S
262;TX;PADD 3;PADD 3; 30.000 ;W
263;KS, CO;PADD 2;PADD 4; 5.000 ;W
264;TX;PADD 3;PADD 3; 400.000 ;NE
265;TX, NM, AZ;PADD 3;PADD 5; 10.000 ;W
266;LA;PADD 3;PADD 3; 40.000 ;N
267;TX;PADD 3;PADD 3; 280.000 ;SE
268;TX;PADD 3;PADD 3; 300.000 ;SE
269;TX;PADD 3;PADD 3; 75.000 ;E
270;TX;PADD 3;PADD 3; 600.000 ;SE
271;TX;PADD 3;PADD 3; 75.000 ;E
272;CA;PADD 5;PADD 5;;N
273;KS, CO;PADD 2;PADD 4; 35.000 ;
